DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,RO,2022-Q2,4988472,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,RO,2022-Q3,4998093,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,RO,2022-Q4,5025641,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,RO,2023-Q1,5029264,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2020-Q4,4769094,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2021-Q1,4716466,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2021-Q2,4864861,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2021-Q3,4924500,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2021-Q4,4963363,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2022-Q1,4934568,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2022-Q2,5084668,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2022-Q3,5121346,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SE,2022-Q4,5066110,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2020-Q4,771551,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2021-Q1,768023,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2021-Q2,779998,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2021-Q3,783634,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2021-Q4,793656,
